CaseMasterID,CrimeNo,CrimeRegisteredDate,PoliceStation,District,CaseCategory,Gravity,CrimeMajorHead,CrimeMinorHead,CaseStatus,Court,IncidentFromDate,latitude,longitude,BriefFacts,FinalReportType
1363,100010010202600018,2026-11-23,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2026-11-21 08:00:00,12.919651,77.607428,Complainant reported the incident of ordinary theft which occurred near City Railway Station. Investigation taken up.,A
1365,100080021202600007,2026-05-22,Shivamogga Doddapete PS,Shivamogga,FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,Shivamogga District & Sessions Court,2026-05-21 02:00:00,13.949887,75.590548,"Due to previous enmity over old rivalry, the accused assaulted the deceased with iron rod near Shivajinagar resulting in death.",A
1366,100020014202600016,2026-11-26,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Convicted,Bengaluru Rural District & Sessions Court,2026-11-25 07:00:00,13.256499,77.702662,Unknown accused on motorcycle snatched 15 gram gold chain from complainant near Yelahanka New Town at around 2200 hours and escaped.,A
1369,100010008202400014,2024-02-21,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2024-02-21 02:00:00,12.965283,77.567937,Complainant reported the incident of ordinary theft which occurred near Koramangala 5th Block. Investigation taken up.,C
1370,100070020202600013,2026-02-02,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Public Order,Unlawful Assembly,Acquitted,Hubballi-Dharwad District & Sessions Court,2026-02-02 19:00:00,15.378296,75.131868,Complainant reported the incident of unlawful assembly which occurred near Koramangala 5th Block. Investigation taken up.,A
1371,100040017202400014,2024-05-07,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Closed - Undetected,Mangaluru City District & Sessions Court,2024-05-06 07:00:00,12.84934,74.820275,Complainant reported the incident of criminal breach of trust which occurred near Belagavi Fort Road. Investigation taken up.,C
1372,100070020202500016,2025-04-06,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Hubballi-Dharwad District & Sessions Court,2025-04-06 08:00:00,15.379009,75.134057,Swift car KA-51-GC-2723 stolen from parking area near Yelahanka New Town between 1230 and 1300 hours.,A
1373,100070020202100010,2021-12-15,Hubballi Town PS,Hubballi-Dharwad,FIR,Heinous,Crimes Against Women,Molestation,Acquitted,Hubballi-Dharwad District & Sessions Court,2021-12-13 05:00:00,15.353807,75.123272,Complainant reported the incident of molestation which occurred near City Railway Station. Investigation taken up.,A
1374,100010009202400015,2024-04-03,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2024-04-01 18:00:00,12.94387,77.564447,Complainant reported the incident of ordinary theft which occurred near Jayanagar 4th Block. Investigation taken up.,A
1375,100050018202500020,2025-08-05,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Belagavi District & Sessions Court,2025-08-03 23:00:00,15.857668,74.518355,Complainant reported the incident of ordinary theft which occurred near MG Road. Investigation taken up.,A
1376,100030016202500016,2025-01-15,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Acquitted,Mysuru District & Sessions Court,2025-01-13 15:00:00,12.284215,76.674248,Altercation between complainant and accused over money matter near Koramangala 5th Block; accused assaulted complainant with hands and club causing simple injuries.,A
1378,100010010202300013,2023-07-26,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Women,Cruelty by Husband/Relatives,Closed - False Case,Bengaluru City District & Sessions Court,2023-07-25 03:00:00,12.946921,77.64193,Complainant reported the incident of cruelty by husband/relatives which occurred near Hubballi Old Bus Stand. Investigation taken up.,B
1381,100010007202400014,2024-05-20,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Convicted,Bengaluru City District & Sessions Court,2024-05-20 06:00:00,12.959897,77.578704,Two persons on a blue Splendor approached the complainant walking near Hubballi Old Bus Stand and the pillion rider snatched the gold chain weighing approx 30 grams from her neck and sped away towards Market side.,A
1382,100020014202600017,2026-05-01,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Bengaluru Rural District & Sessions Court,2026-04-29 21:00:00,13.267039,77.691987,Altercation between complainant and accused over old rivalry near Koramangala 5th Block; accused assaulted complainant with hands and stone causing simple injuries.,C
1388,100010009202200009,2022-12-21,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Bengaluru City District & Sessions Court,2022-12-19 11:00:00,12.915684,77.57021,Unknown accused on motorcycle snatched 15 gram gold chain from complainant near Electronic City Phase 1 at around 0830 hours and escaped.,C
1392,100050018202600016,2026-05-12,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - False Case,Belagavi District & Sessions Court,2026-05-11 23:00:00,15.83631,74.490722,Splendor motorcycle KA-02-ED-9557 stolen from parking area near Hubballi Old Bus Stand between 1800 and 1900 hours.,B
1395,100010012202100017,2021-07-13,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2021-07-13 00:00:00,13.12192,77.573033,Complainant parked his Bolero bearing registration KA-51-EH-8921 near Mysuru Devaraja Market. On return the vehicle was found stolen.,C
1396,100080021202600008,2026-09-26,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,Shivamogga District & Sessions Court,2026-09-25 09:00:00,13.940146,75.591734,Complainant reported the incident of grievous hurt which occurred near Hebbal Flyover. Investigation taken up.,A
1397,100010008202500017,2025-11-17,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Identity Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2025-11-16 01:00:00,12.958088,77.617057,Complainant reported the incident of identity theft which occurred near MG Road. Investigation taken up.,A
1399,100050018202500021,2025-03-20,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Convicted,Belagavi District & Sessions Court,2025-03-18 23:00:00,15.834971,74.495131,Complainant reported the incident of ordinary theft which occurred near Belagavi Fort Road. Investigation taken up.,A
1400,100020013202500015,2025-05-27,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Bengaluru Rural District & Sessions Court,2025-05-26 11:00:00,13.120389,77.378364,Complainant reported the incident of cheating which occurred near Hebbal Flyover. Investigation taken up.,C
1401,100070020202200016,2022-10-17,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Hubballi-Dharwad District & Sessions Court,2022-10-16 03:00:00,15.369204,75.119056,Unknown accused on motorcycle snatched 20 gram gold chain from complainant near Electronic City Phase 1 at around 0730 hours and escaped.,C
1403,100050018202100017,2021-06-14,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,Belagavi District & Sessions Court,2021-06-13 10:00:00,15.871574,74.47338,Complainant reported the incident of grievous hurt which occurred near Malleshwaram 8th Cross. Investigation taken up.,A
1404,100010009202600017,2026-12-18,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Convicted,Bengaluru City District & Sessions Court,2026-12-17 15:00:00,12.91143,77.561128,"Complainant received a call from unknown person posing as bank official and was induced to share OTP, following which Rs. 80000 was fraudulently transferred from his account.",A
1405,100010006202600018,2026-01-08,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Bengaluru City District & Sessions Court,2026-01-08 19:00:00,12.99689,77.594361,Altercation between complainant and accused over old rivalry near Majestic Bus Stand; accused assaulted complainant with hands and knife causing simple injuries.,C
1406,100080021202100009,2021-11-19,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Cyber Crimes,Identity Theft,Convicted,Shivamogga District & Sessions Court,2021-11-19 12:00:00,13.944172,75.548349,Complainant reported the incident of identity theft which occurred near KR Market. Investigation taken up.,A
1412,100030016202500017,2025-11-12,Mysuru VV Puram PS,Mysuru,FIR,Heinous,Crimes Against Property,Robbery,Acquitted,Mysuru District & Sessions Court,2025-11-12 00:00:00,12.318211,76.626564,Complainant reported the incident of robbery which occurred near Koramangala 5th Block. Investigation taken up.,A
1414,100020014202300010,2023-03-06,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Public Order,Rioting,Convicted,Bengaluru Rural District & Sessions Court,2023-03-05 22:00:00,13.223124,77.701957,Complainant reported the incident of rioting which occurred near Hubballi Old Bus Stand. Investigation taken up.,A
1415,100080021202200018,2022-11-26,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Charge Sheeted,Shivamogga District & Sessions Court,2022-11-25 03:00:00,13.919523,75.591018,Online fraud: complainant lost Rs. 200000 in fake loan app scheme advertised on social media.,A
1420,100020013202100019,2021-11-23,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,House Burglary,Closed - Undetected,Bengaluru Rural District & Sessions Court,2021-11-22 02:00:00,13.11405,77.388218,House breaking at Yelahanka New Town; accused gained entry through rear window and stole valuables worth approx Rs. 25000.,C
1421,100040017202300017,2023-02-18,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Mangaluru City District & Sessions Court,2023-02-16 12:00:00,12.846392,74.866521,Complainant parked his Swift car bearing registration KA-04-HH-6907 near KR Market. On return the vehicle was found stolen.,C
1422,100080021202100010,2021-11-01,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,Shivamogga District & Sessions Court,2021-11-01 14:00:00,13.904129,75.549062,Complainant reported the incident of grievous hurt which occurred near Whitefield Main Road. Investigation taken up.,A
1423,100040017202500009,2025-06-22,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Convicted,Mangaluru City District & Sessions Court,2025-06-21 10:00:00,12.872111,74.861905,House breaking at Malleshwaram 8th Cross; accused gained entry through rear window and stole valuables worth approx Rs. 50000.,A
1424,100010007202200013,2022-08-16,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2022-08-16 18:00:00,12.986567,77.581184,Bolero KA-03-DH-1752 stolen from parking area near Mysuru Devaraja Market between 0630 and 1100 hours.,A
1428,100010010202100022,2021-03-24,Koramangala PS,Bengaluru City,FIR,Heinous,Crimes Against Body,Murder,Charge Sheeted,Bengaluru City District & Sessions Court,2021-03-24 16:00:00,12.911445,77.603446,"Due to previous enmity over money matter, the accused assaulted the deceased with iron rod near Hebbal Flyover resulting in death.",A
1430,100050018202400014,2024-08-01,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Acquitted,Belagavi District & Sessions Court,2024-07-31 17:00:00,15.858879,74.490697,Swift car KA-02-BH-3874 stolen from parking area near Electronic City Phase 1 between 2230 and 2200 hours.,A
1431,100010008202300018,2023-10-17,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2023-10-17 14:00:00,12.986568,77.603054,Complainant reported the incident of ordinary theft which occurred near MG Road. Investigation taken up.,C
1432,100050018202300010,2023-05-27,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Convicted,Belagavi District & Sessions Court,2023-05-25 13:00:00,15.843373,74.49667,"Complainant received a call from unknown person posing as bank official and was induced to share OTP, following which Rs. 80000 was fraudulently transferred from his account.",A
1433,100030015202200014,2022-06-19,Mysuru Lakshmipuram PS,Mysuru,FIR,Non-Heinous,Crimes Against Women,Cruelty by Husband/Relatives,Charge Sheeted,Mysuru District & Sessions Court,2022-06-17 03:00:00,12.282496,76.64991,Complainant reported the incident of cruelty by husband/relatives which occurred near Yelahanka New Town. Investigation taken up.,A
1434,100040017202400015,2024-06-03,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Mangaluru City District & Sessions Court,2024-06-02 10:00:00,12.864408,74.86754,Two persons on a red Activa scooter approached the complainant walking near Mysuru Devaraja Market and the pillion rider snatched the gold chain weighing approx 20 grams from her neck and sped away towards ring road.,C
1435,100020014202500023,2025-11-11,Devanahalli PS,Bengaluru Rural,FIR,Heinous,Crimes Against Body,Attempt to Murder,Convicted,Bengaluru Rural District & Sessions Court,2025-11-11 21:00:00,13.255935,77.718158,Complainant reported the incident of attempt to murder which occurred near Malleshwaram 8th Cross. Investigation taken up.,A
1436,100010012202600013,2026-07-01,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Acquitted,Bengaluru City District & Sessions Court,2026-06-30 19:00:00,13.081562,77.597159,Complainant reported the incident of ordinary theft which occurred near Electronic City Phase 1. Investigation taken up.,A
1437,100010012202500017,2025-10-26,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Closed - Undetected,Bengaluru City District & Sessions Court,2025-10-24 20:00:00,13.110774,77.599553,House breaking at Whitefield Main Road; accused gained entry through rear window and stole valuables worth approx Rs. 200000.,C
1439,100010006202400020,2024-06-19,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Public Order,Rioting,Charge Sheeted,Bengaluru City District & Sessions Court,2024-06-18 10:00:00,12.961235,77.545167,Complainant reported the incident of rioting which occurred near Belagavi Fort Road. Investigation taken up.,A
1441,100010009202500021,2025-10-15,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Bengaluru City District & Sessions Court,2025-10-13 09:00:00,12.95141,77.607175,Unknown persons broke open the door lock of the complainant's house at Yelahanka New Town during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 200000.,A
1443,100010008202400015,2024-04-10,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Convicted,Bengaluru City District & Sessions Court,2024-04-08 11:00:00,12.964475,77.57746,Complainant reported the incident of grievous hurt which occurred near Koramangala 5th Block. Investigation taken up.,A
1444,100010010202600020,2026-08-23,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Convicted,Bengaluru City District & Sessions Court,2026-08-22 00:00:00,12.915989,77.602419,Altercation between complainant and accused over money matter near Shivajinagar; accused assaulted complainant with hands and stone causing simple injuries.,A
1446,100040017202400016,2024-06-15,Mangaluru North PS,Mangaluru City,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Charge Sheeted,Mangaluru City District & Sessions Court,2024-06-14 08:00:00,12.870086,74.836419,"Complainant received a call from unknown person posing as bank official and was induced to share OTP, following which Rs. 50000 was fraudulently transferred from his account.",A
1447,100030016202300013,2023-10-02,Mysuru VV Puram PS,Mysuru,FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Convicted,Mysuru District & Sessions Court,2023-10-01 12:00:00,12.306809,76.625057,Complainant reported the incident of grievous hurt which occurred near Yelahanka New Town. Investigation taken up.,A
1449,100010009202300008,2023-05-23,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Public Order,Rioting,Charge Sheeted,Bengaluru City District & Sessions Court,2023-05-22 17:00:00,12.939142,77.57504,Complainant reported the incident of rioting which occurred near City Railway Station. Investigation taken up.,A
1451,100010006202500021,2025-04-02,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Bengaluru City District & Sessions Court,2025-04-02 11:00:00,12.99948,77.590236,Two persons on a red Activa scooter approached the complainant walking near Jayanagar 4th Block and the pillion rider snatched the gold chain weighing approx 40 grams from her neck and sped away towards Market side.,A
1452,100010010202600021,2026-12-16,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - False Case,Bengaluru City District & Sessions Court,2026-12-15 13:00:00,12.929058,77.640449,Complainant reported the incident of ordinary theft which occurred near Malleshwaram 8th Cross. Investigation taken up.,B
1453,100010009202600018,2026-03-18,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Online Financial Fraud,Closed - Undetected,Bengaluru City District & Sessions Court,2026-03-17 00:00:00,12.943944,77.597831,"Complainant received a call from unknown person posing as bank official and was induced to share OTP, following which Rs. 80000 was fraudulently transferred from his account.",C
1454,100020013202300016,2023-04-08,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Economic Offences,Cheating,Closed - Undetected,Bengaluru Rural District & Sessions Court,2023-04-07 06:00:00,13.074106,77.401405,Complainant reported the incident of cheating which occurred near Hebbal Flyover. Investigation taken up.,C
1455,100030015202600011,2026-03-14,Mysuru Lakshmipuram PS,Mysuru,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Mysuru District & Sessions Court,2026-03-12 23:00:00,12.303071,76.634926,Complainant reported the incident of ordinary theft which occurred near Koramangala 5th Block. Investigation taken up.,A
1456,100010011202300010,2023-12-24,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Acquitted,Bengaluru City District & Sessions Court,2023-12-24 05:00:00,12.957077,77.740593,House breaking at Majestic Bus Stand; accused gained entry through rear window and stole valuables worth approx Rs. 25000.,A
1457,100070020202300007,2023-09-08,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Acquitted,Hubballi-Dharwad District & Sessions Court,2023-09-06 13:00:00,15.371319,75.14332,Altercation between complainant and accused over money matter near City Railway Station; accused assaulted complainant with hands and knife causing simple injuries.,A
1458,100070020202300008,2023-12-24,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Public Order,Rioting,Acquitted,Hubballi-Dharwad District & Sessions Court,2023-12-22 18:00:00,15.370127,75.132478,Complainant reported the incident of rioting which occurred near Whitefield Main Road. Investigation taken up.,A
1460,100010006202500022,2025-03-15,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Economic Offences,Cheating,Convicted,Bengaluru City District & Sessions Court,2025-03-14 21:00:00,12.975445,77.576104,Complainant reported the incident of cheating which occurred near City Railway Station. Investigation taken up.,A
1461,100010009202500022,2025-11-02,Jayanagar PS,Bengaluru City,FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,Bengaluru City District & Sessions Court,2025-10-31 20:00:00,12.916157,77.558399,Complainant reported the incident of molestation which occurred near Jayanagar 4th Block. Investigation taken up.,A
1464,100020013202500016,2025-02-21,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Bengaluru Rural District & Sessions Court,2025-02-19 08:00:00,13.116928,77.416524,Altercation between complainant and accused over land dispute near Shivajinagar; accused assaulted complainant with hands and iron rod causing simple injuries.,C
1466,100080021202100012,2021-01-17,Shivamogga Doddapete PS,Shivamogga,FIR,Heinous,Crimes Against Body,Murder,Closed - Undetected,Shivamogga District & Sessions Court,2021-01-16 05:00:00,13.919538,75.565822,"Due to previous enmity over trivial issue, the accused assaulted the deceased with stone near Jayanagar 4th Block resulting in death.",C
1468,100070020202100011,2021-05-08,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Convicted,Hubballi-Dharwad District & Sessions Court,2021-05-07 08:00:00,15.363538,75.110464,Altercation between complainant and accused over money matter near Mysuru Devaraja Market; accused assaulted complainant with hands and club causing simple injuries.,A
1469,100050018202300011,2023-07-21,Belagavi Market PS,Belagavi,FIR,Non-Heinous,Economic Offences,Cheating,Acquitted,Belagavi District & Sessions Court,2023-07-19 07:00:00,15.873344,74.523195,Complainant reported the incident of cheating which occurred near Malleshwaram 8th Cross. Investigation taken up.,A
1471,100060019202400016,2024-08-28,Kalaburagi Station Bazaar PS,Kalaburagi,FIR,Non-Heinous,Crimes Against Property,House Burglary,Acquitted,Kalaburagi District & Sessions Court,2024-08-27 17:00:00,17.341297,76.809695,Unknown persons broke open the door lock of the complainant's house at Malleshwaram 8th Cross during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 25000.,A
1473,100010006202400022,2024-12-10,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2024-12-08 22:00:00,12.975155,77.562486,Activa scooter KA-41-CG-6312 stolen from parking area near Mysuru Devaraja Market between 1800 and 2200 hours.,A
1476,100060019202600019,2026-04-07,Kalaburagi Station Bazaar PS,Kalaburagi,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Charge Sheeted,Kalaburagi District & Sessions Court,2026-04-07 06:00:00,17.330329,76.847406,Two persons on a blue Splendor approached the complainant walking near KR Market and the pillion rider snatched the gold chain weighing approx 20 grams from her neck and sped away towards Majestic.,A
1478,100010011202300011,2023-01-25,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Women,Cruelty by Husband/Relatives,Closed - Undetected,Bengaluru City District & Sessions Court,2023-01-24 11:00:00,12.990379,77.754152,Complainant reported the incident of cruelty by husband/relatives which occurred near Majestic Bus Stand. Investigation taken up.,C
1479,100010007202200014,2022-05-15,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2022-05-15 22:00:00,12.967411,77.580412,Swift car KA-04-BA-8919 stolen from parking area near Mysuru Devaraja Market between 1400 and 2200 hours.,A
1482,100080021202500016,2025-12-11,Shivamogga Doddapete PS,Shivamogga,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Shivamogga District & Sessions Court,2025-12-10 04:00:00,13.910496,75.542802,Complainant reported the incident of ordinary theft which occurred near Mysuru Devaraja Market. Investigation taken up.,A
1483,100010011202200011,2022-02-17,Whitefield PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2022-02-16 06:00:00,12.96801,77.760736,Complainant reported the incident of ordinary theft which occurred near Koramangala 5th Block. Investigation taken up.,C
1484,100010006202500023,2025-04-23,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Charge Sheeted,Bengaluru City District & Sessions Court,2025-04-23 21:00:00,12.959952,77.568231,Altercation between complainant and accused over old rivalry near MG Road; accused assaulted complainant with hands and iron rod causing simple injuries.,A
1486,100010009202600019,2026-04-01,Jayanagar PS,Bengaluru City,FIR,Heinous,Crimes Against Property,Robbery,Convicted,Bengaluru City District & Sessions Court,2026-03-30 23:00:00,12.951304,77.571934,Complainant reported the incident of robbery which occurred near Hebbal Flyover. Investigation taken up.,A
1487,100070020202200017,2022-05-08,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Economic Offences,Cheating,Convicted,Hubballi-Dharwad District & Sessions Court,2022-05-07 06:00:00,15.384404,75.142962,Complainant reported the incident of cheating which occurred near Banashankari Temple. Investigation taken up.,A
1490,100020014202300012,2023-01-04,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - Undetected,Bengaluru Rural District & Sessions Court,2023-01-02 02:00:00,13.237893,77.695205,Altercation between complainant and accused over land dispute near City Railway Station; accused assaulted complainant with hands and iron rod causing simple injuries.,C
1491,100070020202600015,2026-02-23,Hubballi Town PS,Hubballi-Dharwad,FIR,Non-Heinous,Economic Offences,Cheating,Acquitted,Hubballi-Dharwad District & Sessions Court,2026-02-22 21:00:00,15.343602,75.146936,Complainant reported the incident of cheating which occurred near Banashankari Temple. Investigation taken up.,A
1492,100010010202400015,2024-08-03,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Cyber Crimes,Identity Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2024-08-03 07:00:00,12.951627,77.635587,Complainant reported the incident of identity theft which occurred near Banashankari Temple. Investigation taken up.,A
1493,100020014202400023,2024-07-17,Devanahalli PS,Bengaluru Rural,FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,Bengaluru Rural District & Sessions Court,2024-07-15 04:00:00,13.233931,77.713513,Complainant reported the incident of cheating which occurred near Jayanagar 4th Block. Investigation taken up.,A
1495,100030015202500012,2025-06-09,Mysuru Lakshmipuram PS,Mysuru,FIR,Non-Heinous,Cyber Crimes,Identity Theft,Closed - Undetected,Mysuru District & Sessions Court,2025-06-08 08:00:00,12.31898,76.629119,Complainant reported the incident of identity theft which occurred near Koramangala 5th Block. Investigation taken up.,C
1496,100030016202600011,2026-04-09,Mysuru VV Puram PS,Mysuru,FIR,Heinous,Crimes Against Body,Murder,Convicted,Mysuru District & Sessions Court,2026-04-08 14:00:00,12.314653,76.663732,"Due to previous enmity over land dispute, the accused assaulted the deceased with iron rod near Majestic Bus Stand resulting in death.",A
1497,100010006202100016,2021-06-10,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Acquitted,Bengaluru City District & Sessions Court,2021-06-08 09:00:00,12.985253,77.568384,Activa scooter KA-41-GC-7038 stolen from parking area near Hebbal Flyover between 1600 and 2200 hours.,A
1498,100060019202100011,2021-08-02,Kalaburagi Station Bazaar PS,Kalaburagi,FIR,Non-Heinous,Crimes Against Body,Simple Hurt,Closed - False Case,Kalaburagi District & Sessions Court,2021-07-31 05:00:00,17.333527,76.839661,Altercation between complainant and accused over trivial issue near Hubballi Old Bus Stand; accused assaulted complainant with hands and iron rod causing simple injuries.,B
1499,100040017202400017,2024-11-22,Mangaluru North PS,Mangaluru City,FIR,Heinous,Crimes Against Women,Molestation,Acquitted,Mangaluru City District & Sessions Court,2024-11-21 09:00:00,12.84917,74.860706,Complainant reported the incident of molestation which occurred near Hebbal Flyover. Investigation taken up.,A
1500,100010011202400017,2024-03-16,Whitefield PS,Bengaluru City,FIR,Heinous,Crimes Against Property,Robbery,Acquitted,Bengaluru City District & Sessions Court,2024-03-16 08:00:00,12.96296,77.747096,Complainant reported the incident of robbery which occurred near Mysuru Devaraja Market. Investigation taken up.,A
1501,100010012202500018,2025-02-08,Yelahanka PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Public Order,Rioting,Charge Sheeted,Bengaluru City District & Sessions Court,2025-02-06 07:00:00,13.100219,77.569951,Complainant reported the incident of rioting which occurred near Majestic Bus Stand. Investigation taken up.,A
1503,100020013202100020,2021-03-19,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Charge Sheeted,Bengaluru Rural District & Sessions Court,2021-03-19 14:00:00,13.101779,77.395917,Complainant parked his Swift car bearing registration KA-51-HD-2018 near Yelahanka New Town. On return the vehicle was found stolen.,A
1504,100020013202300017,2023-12-14,Nelamangala PS,Bengaluru Rural,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Charge Sheeted,Bengaluru Rural District & Sessions Court,2023-12-14 13:00:00,13.078646,77.391512,Complainant reported the incident of ordinary theft which occurred near Electronic City Phase 1. Investigation taken up.,A
